iter	Passed	Remaining
808	86854	108863
809	86955	108748
810	87052	108628
811	87156	108516
812	87250	108392
813	87354	108281
814	87453	108163
815	87561	108056
816	87661	107940
817	87760	107823
818	87869	107718
819	87972	107605
820	88075	107492
821	88181	107384
822	88285	107273
823	88390	107162
824	88582	107158
825	88708	107072
826	88802	106949
827	88911	106844
828	89022	106741
829	89132	106636
830	89250	106541
831	89367	106445
832	89488	106355
833	89606	106259
834	89723	106164
835	89837	106064
836	89958	105972
837	90081	105883
838	90201	105790
839	90323	105699
840	90442	105605
841	90564	105515
842	90684	105422
843	90788	105309
844	90896	105203
845	91002	105094
846	91109	104985
847	91220	104882
848	91319	104764
849	91435	104667
850	91544	104560
851	91658	104461
852	91762	104349
853	91869	104240
854	91968	104123
855	92069	104008
856	92181	103905
857	92278	103786
858	92375	103667
859	92478	103554
860	92580	103440
861	92693	103338
862	92793	103223
863	92903	103118
864	93012	103012
865	93119	102904
866	93220	102790
867	93319	102673
868	93424	102562
869	93529	102452
870	93636	102343
871	93744	102237
872	93850	102128
873	93963	102026
874	94075	101924
875	94173	101806
876	94273	101690
877	94373	101575
878	94486	101473
879	94590	101362
880	94690	101247
881	94796	101137
882	94903	101029
883	95009	100920
884	95120	100816
885	95225	100707
886	95343	100610
887	95441	100493
888	95547	100384
889	95648	100269
890	95747	100153
891	95852	100043
892	95952	99928
893	96062	99823
894	96164	99710
895	96264	99594
896	96372	99488
897	96471	99372
898	96575	99260
899	96684	99154
900	96786	99041
901	96898	98939
902	97002	98828
903	97106	98717
904	97212	98609
905	97319	98500
906	97419	98386
907	97527	98279
908	97634	98171
909	97744	98066
910	97855	97962
911	97952	97845
912	98053	97731
913	98155	97618
914	98254	97502
915	98357	97390
916	98457	97276
917	98565	97170
918	98675	97064
919	98781	96956
920	98885	96845
921	98995	96740
922	99110	96640
923	99211	96527
924	99315	96416
925	99424	96310
926	99530	96202
927	99633	96090
928	99742	95984
929	99849	95877
930	99947	95760
931	100050	95648
932	100151	95536
933	100253	95423
934	100357	95313
935	100462	95203
936	100574	95099
937	100677	94988
938	100780	94877
939	100889	94771
940	100987	94656
941	101105	94558
942	101210	94449
943	101312	94336
944	101420	94229
945	101524	94119
946	101630	94010
947	101740	93905
948	101839	93791
949	101950	93686
950	102060	93581
951	102171	93478
952	102277	93369
953	102390	93267
954	102489	93152
955	102604	93052
956	102702	92936
957	102813	92832
958	102918	92723
959	103026	92616
960	103130	92506
961	103245	92406
962	103346	92292
963	103454	92186
964	103554	92072
965	103657	91961
966	103760	91850
967	103866	91741
968	103970	91631
969	104069	91517
970	104181	91413
971	104282	91301
972	104384	91188
973	104491	91081
974	104599	90974
975	104706	90867
976	104814	90760
977	104912	90645
978	105020	90538
979	105126	90430
980	105235	90324
981	105335	90210
982	105435	90097
983	105545	89992
984	105658	89890
985	105763	89781
986	105861	89665
987	105967	89557
988	106072	89448
989	106177	89339
990	106283	89231
991	106398	89130
992	106504	89021
993	106614	88917
994	106734	88820
995	106846	88717
996	107077	88712
997	107197	88615
998	107303	88506
999	107418	88405
1000	107526	88298
1001	107636	88193
1002	107756	88095
1003	107866	87990
1004	107978	87887
1005	108088	87781
1006	108197	87675
1007	108310	87572
1008	108426	87472
1009	108541	87370
1010	108642	87257
1011	108754	87154
1012	108873	87055
1013	108978	86946
1014	109092	86843
1015	109205	86740
1016	109310	86631
1017	109417	86523
1018	109532	86422
1019	109632	86308
1020	109749	86208
1021	109871	86112
1022	109976	86003
1023	110097	85905
1024	110218	85809
1025	110322	85699
1026	110444	85602
1027	110561	85502
1028	110688	85409
1029	110801	85306
1030	110912	85201
1031	111032	85103
1032	111137	84993
1033	111251	84891
1034	111362	84786
1035	111470	84678
1036	111588	84579
1037	111685	84463
1038	111781	84347
1039	111898	84246
1040	112000	84134
1041	112107	84027
1042	112216	83920
1043	112328	83816
1044	112433	83706
1045	112539	83597
1046	112640	83485
1047	112747	83376
1048	112850	83265
1049	112962	83161
1050	113065	83051
1051	113168	82940
1052	113273	82830
1053	113372	82716
1054	113482	82611
1055	113584	82499
1056	113691	82391
1057	113800	82284
1058	113909	82178
1059	114014	82069
1060	114115	81956
1061	114221	81848
1062	114331	81742
1063	114435	81632
1064	114541	81523
1065	114645	81413
1066	114746	81301
1067	114860	81198
1068	114972	81093
1069	115076	80983
1070	115183	80876
1071	115290	80767
1072	115403	80663
1073	115503	80551
1074	115607	80441
1075	115715	80333
1076	115822	80226
1077	115928	80117
1078	116032	80007
1079	116133	79895
1080	116238	79786
1081	116342	79676
1082	116449	79568
1083	116544	79452
1084	116644	79339
1085	116750	79230
1086	116867	79130
1087	116972	79021
1088	117077	78911
1089	117183	78803
1090	117286	78692
1091	117383	78577
1092	117493	78472
1093	117597	78362
1094	117704	78254
1095	117807	78144
1096	117908	78032
1097	118025	77930
1098	118137	77826
1099	118240	77716
1100	118345	77606
1101	118441	77492
1102	118545	77382
1103	118645	77270
1104	118746	77158
1105	118840	77042
1106	118949	76935
1107	119056	76827
1108	119154	76714
1109	119259	76605
1110	119359	76493
1111	119460	76381
1112	119571	76276
1113	119675	76166
1114	119780	76058
1115	119880	75945
1116	119989	75839
1117	120085	75724
1118	120186	75613
1119	120288	75502
1120	120393	75393
1121	120493	75281
1122	120593	75169
1123	120689	75054
1124	120793	74945
1125	120896	74835
1126	120996	74723
1127	121098	74612
1128	121197	74500
1129	121297	74388
1130	121411	74285
1131	121507	74171
1132	121614	74063
1133	121715	73952
1134	121823	73845
1135	121922	73733
1136	122035	73628
1137	122141	73520
1138	122240	73408
1139	122341	73297
1140	122454	73193
1141	122559	73084
1142	122664	72976
1143	122769	72867
1144	122876	72760
1145	122980	72650
1146	123088	72543
1147	123200	72439
1148	123305	72330
1149	123407	72220
1150	123516	72113
1151	123614	72001
1152	123719	71892
1153	123825	71784
1154	123928	71674
1155	124034	71566
1156	124141	71459
1157	124243	71348
1158	124350	71241
1159	124453	71131
1160	124555	71021
1161	124658	70911
1162	124763	70802
1163	124860	70689
1164	124967	70582
1165	125082	70479
1166	125185	70370
1167	125286	70259
1168	125392	70151
1169	125627	70115
1170	125731	70005
1171	125830	69893
1172	125936	69785
1173	126039	69676
1174	126147	69568
1175	126250	69459
1176	126361	69354
1177	126473	69248
1178	126577	69139
1179	126684	69032
1180	126782	68920
1181	126888	68811
1182	126988	68700
1183	127086	68588
1184	127189	68478
1185	127289	68367
1186	127386	68254
1187	127489	68144
1188	127607	68043
1189	127706	67931
1190	127809	67821
1191	127904	67707
1192	128019	67604
1193	128124	67496
1194	128236	67391
1195	128347	67285
1196	128447	67174
1197	128551	67065
1198	128668	66963
1199	128775	66855
1200	128879	66746
1201	129005	66649
1202	129106	66538
1203	129207	66428
1204	129314	66320
1205	129414	66209
1206	129522	66102
1207	129623	65992
1208	129723	65881
1209	129826	65771
1210	129932	65663
1211	130033	65553
1212	130132	65441
1213	130231	65330
1214	130345	65226
1215	130452	65119
1216	130572	65018
1217	130679	64910
1218	130783	64801
1219	130894	64696
1220	130999	64588
1221	131101	64477
1222	131206	64369
1223	131303	64257
1224	131402	64145
1225	131504	64036
1226	131612	63929
1227	131715	63819
1228	131818	63710
1229	131922	63601
1230	132022	63490
1231	132124	63381
1232	132238	63277
1233	132343	63168
1234	132443	63058
